name,player_style,nationality,base_price_(in_lacs),final_price_(in_lacs),franchise,status
Mohammed Siraj,Bowler,India,3.044522437723423,6.55250788703459,RCB,RETAINED
Glenn Maxwell,Allrounder,Australia,3.044522437723423,7.00397413672268,RCB,RETAINED
Virat Kohli,Batter,India,3.044522437723423,7.313886831633462,RCB,RETAINED
Yashasvi Jaiswal,Batter,India,3.044522437723423,5.993961427306569,RR,RETAINED
Jos Buttler,WK-Batter,England,3.044522437723423,6.90875477931522,RR,RETAINED
Sanju Samson,WK-Batter,India,3.044522437723423,7.244941546337007,RR,RETAINED
Arshdeep Singh,Bowler,India,3.044522437723423,5.993961427306569,PBKS,RETAINED
Suryakumar Yadav,Batter,India,3.044522437723423,6.68586094706836,MI,RETAINED
Jasprit Bumrah,Bowler,India,3.044522437723423,7.0909098220799835,MI,RETAINED
Akash Deep,Bowler,India,3.044522437723423,3.044522437723423,RCB,RETAINED
Rohit Sharma,Batter,India,3.044522437723423,7.3783837129967145,MI,RETAINED
Dwaine Pretorius,Allrounder,South Africa,3.044522437723423,3.9318256327243257,CSK,RETAINED
KL Rahul,WK-Batter,India,3.044522437723423,7.438971592395862,LSG,RETAINED
Marcus Stoinis,Allrounder,Australia,3.044522437723423,6.825460036255307,LSG,RETAINED
Sunil Narine,Allrounder,West Indies,3.044522437723423,6.398594934535208,KKR,RETAINED
Venkatesh Iyer,Allrounder,India,3.044522437723423,6.68586094706836,KKR,RETAINED
Ravindra Jadeja,Allrounder,India,3.044522437723423,7.3783837129967145,CSK,RETAINED
Varun Chakaravarthy,Bowler,India,3.044522437723423,6.68586094706836,KKR,RETAINED
Andre Russell,Allrounder,West Indies,3.044522437723423,7.0909098220799835,KKR,RETAINED
Shubman Gill,Batter,India,3.044522437723423,6.68586094706836,GT,RETAINED
Rashid Khan,Bowler,Afghanistan,3.044522437723423,7.313886831633462,GT,RETAINED
Hardik Pandya,Allrounder,India,3.044522437723423,7.313886831633462,GT,RETAINED
Anrich Nortje,Bowler,South Africa,3.044522437723423,6.478509642208569,DC,RETAINED
Prithvi Shaw,Batter,India,3.044522437723423,6.621405651764134,DC,RETAINED
MS Dhoni,WK-Batter,India,3.044522437723423,7.0909098220799835,CSK,RETAINED
Moeen Ali,Allrounder,England,3.044522437723423,6.68586094706836,CSK,RETAINED
Ruturaj Gaikwad,Batter,India,3.044522437723423,6.398594934535208,CSK,RETAINED
Rishabh Pant,WK-Batter,India,3.044522437723423,7.3783837129967145,DC,RETAINED
Axar Patel,Allrounder,India,3.044522437723423,6.803505257608338,DC,RETAINED
